id,commission_id,authority_type
1,1,ACKNOWLEDGMENT
2,1,JURAT
3,2,ACKNOWLEDGMENT
4,2,JURAT
5,2,RON
6,2,LOAN_SIGNING
7,3,ACKNOWLEDGMENT
8,3,JURAT
9,4,ACKNOWLEDGMENT
10,4,JURAT
11,4,RON
12,5,ACKNOWLEDGMENT
13,5,JURAT
14,6,ACKNOWLEDGMENT
15,6,JURAT
16,6,LOAN_SIGNING
17,7,ACKNOWLEDGMENT
18,7,JURAT
19,8,ACKNOWLEDGMENT
20,8,JURAT
21,9,ACKNOWLEDGMENT
22,9,JURAT
23,10,ACKNOWLEDGMENT
24,10,JURAT
25,11,ACKNOWLEDGMENT
26,11,JURAT
27,12,ACKNOWLEDGMENT
28,12,JURAT
29,13,ACKNOWLEDGMENT
30,13,JURAT
31,13,RON
32,14,ACKNOWLEDGMENT
33,14,JURAT
34,15,ACKNOWLEDGMENT
35,15,JURAT
36,16,ACKNOWLEDGMENT
37,16,JURAT
38,17,ACKNOWLEDGMENT
39,17,JURAT
40,18,ACKNOWLEDGMENT
41,18,JURAT
42,19,ACKNOWLEDGMENT
43,19,JURAT
44,20,ACKNOWLEDGMENT
45,20,JURAT
46,20,LOAN_SIGNING
