id,journal_entry_id ,base_notarial_fee,service_fee,travel_fee,convenience_fee,rush_fee,total_amount,notary_share,company_share
1,1,15.00,50.00,25.00,5.00,0.00,95.00,66.50,28.50
2,2,10.00,40.00,0.00,0.00,20.00,70.00,49.00,21.00
3,3,15.00,150.00,45.00,10.00,0.00,220.00,154.00,66.00
4,4,5.00,30.00,15.00,0.00,0.00,50.00,35.00,15.00
5,5,15.00,80.00,35.00,5.00,25.00,160.00,112.00,48.00
6,6,15.00,0.00,0.00,0.00,0.00,15.00,10.50,4.50
7,7,10.00,45.00,20.00,5.00,0.00,80.00,56.00,24.00
8,8,15.00,200.00,60.00,20.00,50.00,345.00,241.50,103.50
9,9,15.00,50.00,15.00,0.00,0.00,80.00,56.00,24.00
10,10,10.00,35.00,0.00,5.00,15.00,65.00,45.50,19.50
11,11,15.00,120.00,40.00,10.00,0.00,185.00,129.50,55.50
12,12,5.00,20.00,10.00,0.00,0.00,35.00,24.50,10.50
13,13,15.00,75.00,30.00,5.00,0.00,125.00,87.50,37.50
14,14,15.00,300.00,100.00,25.00,80.00,520.00,364.00,156.00
15,15,10.00,40.00,0.00,0.00,0.00,50.00,35.00,15.00
16,16,15.00,60.00,25.00,5.00,10.00,115.00,80.50,34.50
17,17,15.00,180.00,50.00,15.00,0.00,260.00,182.00,78.00
18,18,5.00,25.00,0.00,0.00,0.00,30.00,21.00,9.00
19,19,15.00,90.00,35.00,10.00,30.00,180.00,126.00,54.00
20,20,15.00,55.00,20.00,5.00,0.00,95.00,66.50,28.50
