id,user_id,action,entity_type,entity_id,timestamp,metadata
1,1,LOGIN,USER,1,2024-01-15 08:00:00,"{""ip"": ""192.168.1.10"", ""status"": ""success""}"
2,1,CREATE,CERTIFICATE,1,2024-01-15 09:30:00,"{""ca_name"": ""IdenTrust"", ""owner_id"": 1}"
3,2,ISSUE,SEAL,2,2024-01-20 10:15:00,"{""type"": ""EMBOSSER"", ""state"": ""TX""}"
4,3,REGISTER,DEVICE,3,2024-02-05 14:00:00,"{""device_type"": ""Windows PC"", ""mfa"": true}"
5,1,REVOKE,CERTIFICATE,4,2024-02-10 16:45:00,"{""reason"": ""Security breach suspected""}"
6,4,SIGN_DOCUMENT,SEAL,4,2024-02-12 09:00:00,"{""doc_id"": ""DOC-9921"", ""page"": 1}"
7,5,ROTATE_KEY,HSM_KEY,5,2024-02-20 11:20:00,"{""provider"": ""Gemalto SafeNet""}"
8,2,UPDATE,COMMISSION,2,2024-03-01 08:45:00,"{""status"": ""VALID"", ""new_expiry"": ""2026-05-10""}"
9,10,VERIFY,CERTIFICATE,10,2024-03-15 13:00:00,"{""result"": ""valid"", ""ocsp_check"": ""passed""}"
10,7,BLOCK,DEVICE,7,2024-03-16 10:30:00,"{""reason"": ""Multiple failed MFA attempts""}"
11,3,EXPORT_LOG,REPORT,101,2024-03-20 15:00:00,"{""range"": ""2024-Q1"", ""format"": ""PDF""}"
12,13,CREATE,SEAL,13,2024-04-01 09:10:00,"{""state"": ""VA"", ""style"": ""Standard""}"
13,15,ATTEMPT_SIGN,SEAL,15,2024-04-15 12:35:00,"{""warning"": ""Unauthorized access attempt""}"
14,1,DELETE,DEVICE,18,2024-04-20 17:00:00,"{""device_id"": ""PC-556677"", ""admin_id"": 1}"
15,18,RENEW,CERTIFICATE,18,2024-05-01 08:20:00,"{""new_serial"": ""CERT-2024-018-R""}"
16,6,DOWNLOAD,DOCUMENT,502,2024-05-05 14:40:00,"{""doc_name"": ""Property_Deed_Final.pdf""}"
17,20,ACTIVATE,SEAL,20,2024-05-10 10:00:00,"{""commission_id"": 20, ""state"": ""UT""}"
18,2,LOGOUT,USER,2,2024-05-10 18:00:00,"{""session_duration"": ""480m""}"
19,9,SIGN_DOCUMENT,SEAL,9,2024-05-12 11:00:00,"{""act_type"": ""Acknowledgement"", ""id"": 9}"
20,1,CHANGE_ROLE,USER,5,2024-05-15 09:00:00,"{""old_role"": 2, ""new_role"": 1}"
21,1,REVOKE,CERTIFICATE,1,2024-03-01 10:30,"{""reason"": ""Key Leak"", ""incident_id"": 1}"
22,1,REPLACE,CERTIFICATE,21,2024-03-05 09:00,"{""old_cert"": 1, ""new_cert"": 21}"
23,1,REVOKE,SEAL,3,2024-03-10 12:00,"{""reason"": ""Seal Damaged"", ""incident_id"": 3}"
24,1,REPLACE,SEAL,23,2024-03-15 14:00,"{""old_seal"": 3, ""new_seal"": 23}"
25,1,REVOKE,CERTIFICATE,5,2024-02-06 08:00,"{""incident_id"": 5, ""scope"": ""FULL""}"
26,1,REVOKE,SEAL,5,2024-02-06 08:01,"{""incident_id"": 5, ""scope"": ""FULL""}"
