id,owner_user_id,ca_id,hsm_key_id,serial_number,public_key,thumbprint ,algorithm,valid_from,valid_to,status,replace_cert_id,device_id
1,1,1,1,CERT-2024-001,a3f9c2e18b7d4f6a91c0e2d4f3a7b9c1,a3f9c2e18b7d4f6a91c0e2d4f3a7b9c1e2f4a6c8,RSA-2048,2024-01-01,2026-01-01,REVOKED,21,1
2,2,2,2,CERT-2024-002,5b7e3a9d1c4f8a2e6d0c9b3f7a1e2d4c,5b7e3a9d1c4f8a2e6d0c9b3f7a1e2d4cc9e1a7b3,RSA-2048,2024-01-10,2026-01-10,REVOKED,22,2
3,3,3,3,CERT-2024-003,c9e1a7b3d5f82c4a6e0b9d1f3a7c2e8f,c9e1a7b3d5f82c4a6e0b9d1f3a7c2e8f8d2a6c1f,ECDSA-P256,2024-01-15,2026-01-15,ACTIVE,NULL,3
4,4,4,4,CERT-2024-004,8d2a6c1f9e3b4a7c5d0e2f1a9b8c3e6d,8d2a6c1f9e3b4a7c5d0e2f1a9b8c3e6df1a3c5e7,RSA-4096,2024-02-01,2026-02-01,ACTIVE,NULL,4
5,5,5,5,CERT-2024-005,f1a3c5e7b9d2a4c6e8f0b1d3a5c7e9f2,f1a3c5e7b9d2a4c6e8f0b1d3a5c7e9f27c2e4a6d,RSA-2048,2024-02-05,2026-02-05,REVOKED,23,5
6,6,6,6,CERT-2024-006,7c2e4a6d8b0f1c3e5a9d7f2b4c6e8a1d,7c2e4a6d8b0f1c3e5a9d7f2b4c6e8a1dd3f7b1a5,ECDSA-P256,2024-02-15,2026-02-15,REVOKED,24,6
7,7,7,7,CERT-2024-007,d3f7b1a5c9e2d4a6b8f0c1e3a5d7b9c2,d3f7b1a5c9e2d4a6b8f0c1e3a5d7b9c29a4c6e8f,RSA-2048,2024-03-01,2026-03-01,REVOKED,25,7
8,8,8,8,CERT-2024-008,9a4c6e8f1d3b5a7c2e0f9b1d4a6c8e2f,9a4c6e8f1d3b5a7c2e0f9b1d4a6c8e2f2e8b4c6d,RSA-2048,2024-03-05,2026-03-05,REVOKED,26,8
9,9,9,9,CERT-2024-009,2e8b4c6d0a1f3c5e7b9d2a4f6c8e1d3a,2e8b4c6d0a1f3c5e7b9d2a4f6c8e1d3a6a9d3c1e,ECDSA-P256,2024-03-10,2026-03-10,REVOKED,27,9
10,10,10,10,CERT-2024-010,6a9d3c1e5f7b2a4c8e0d1f3b5a7c9e2d,6a9d3c1e5f7b2a4c8e0d1f3b5a7c9e2db1d3f5a7,RSA-2048,2024-03-15,2026-03-15,REVOKED,28,10
11,11,11,11,CERT-2024-011,b1d3f5a7c9e2d4a6b8f0c2e4a6d8f1b3,b1d3f5a7c9e2d4a6b8f0c2e4a6d8f1b34c6e8a1d,RSA-4096,2024-04-01,2026-04-01,REVOKED,29,11
12,12,12,12,CERT-2024-012,4c6e8a1d3f5b7c9e2a4d6f8b0c1e3a5d,4c6e8a1d3f5b7c9e2a4d6f8b0c1e3a5de2f4a6c8,RSA-2048,2024-04-05,2026-04-05,REVOKED,30,12
13,13,13,13,CERT-2024-013,e2f4a6c8d0b1a3c5e7f9b2d4a6c8e0f1,e2f4a6c8d0b1a3c5e7f9b2d4a6c8e0f11c3e5a7d,ECDSA-P256,2024-04-10,2026-04-10,REVOKED,31,13
