id,user_id,device_type,device_identifier,status,mfa_enabled
1,1001,MacBook Pro,MB-987123,ACTIVE,1
2,1002,iPad Pro,IP-112233,ACTIVE,1
3,1003,Windows PC,PC-556677,ACTIVE,1
4,1004,iPhone 15,PH-990011,ACTIVE,1
5,1005,MacBook Air,MB-445566,ACTIVE,1
6,1006,Samsung S23,PH-887766,ACTIVE,1
7,1007,Dell XPS 15,PC-121212,ACTIVE,1
8,1008,iPad Air,IP-343434,ACTIVE,1
9,1009,MacBook Pro,MB-565656,ACTIVE,1
10,1010,Surface Pro 9,PC-787878,ACTIVE,1
11,1011,iPhone 14,PH-909090,ACTIVE,1
12,1012,Windows PC,PC-212121,ACTIVE,1
13,1013,MacBook Pro,MB-434343,ACTIVE,1
14,1014,iPad Pro,IP-656565,ACTIVE,1
15,1015,Google Pixel 8,PH-878787,ACTIVE,1
16,1016,Lenovo X1,PC-090909,ACTIVE,1
17,1017,MacBook Air,MB-101010,ACTIVE,1
18,1018,iPad Mini,IP-202020,ACTIVE,1
19,1019,iPhone 13,PH-303030,ACTIVE,1
20,1020,iMac 24,PC-404040,ACTIVE,1
