id,user_id,certificate_id,device_id,document_hash,signature_value,signed_at,ip_address,verification_status
1,1,1,1,8f3c...1a2b,SigV1_a9b8c7...,2024-01-15 09:35:00,172.16.0.45,VERIFIED
2,2,2,2,4d1e...9f8a,SigV1_e2f3g4...,2024-01-20 10:20:00,172.16.0.88,VERIFIED
3,3,3,3,a1b2...c3d4,SigV1_h5i6j7...,2024-02-05 14:10:00,104.22.5.12,VERIFIED
4,4,4,4,e5f6...g7h8,SigV1_k8l9m0...,2024-02-12 09:05:00,192.168.1.15,REVOKED
5,5,5,5,i9j0...k1l2,SigV1_n1o2p3...,2024-02-22 11:30:00,172.16.2.10,VERIFIED
6,6,6,6,m3n4...o5p6,SigV1_q4r5s6...,2024-03-01 08:15:00,98.45.12.33,VERIFIED
7,7,7,7,q7r8...s9t0,SigV1_t7u8v9...,2024-03-05 16:40:00,172.16.5.99,FAILED
8,8,8,8,u1v2...w3x4,SigV1_w0x1y2...,2024-03-10 09:25:00,67.88.23.11,VERIFIED
9,9,9,9,y5z6...a1b2,SigV1_z3a4b5...,2024-03-12 11:35:00,104.18.5.67,VERIFIED
10,10,10,10,c3d4...e5f6,SigV1_c6d7e8...,2024-03-15 13:10:00,172.20.1.55,VERIFIED
11,11,11,11,g7h8...i9j0,SigV1_f9g0h1...,2024-04-01 15:05:00,72.44.18.90,VERIFIED
12,12,12,12,k1l2...m3n4,SigV1_i2j3k4...,2024-04-05 10:25:00,172.16.8.22,VERIFIED
13,13,13,13,o5p6...q7r8,SigV1_l5m6n7...,2024-04-10 14:15:00,8.8.8.8,VERIFIED
14,14,14,14,s9t0...u1v2,SigV1_o8p9q0...,2024-04-15 08:55:00,1.1.1.1,VERIFIED
15,15,15,15,w3x4...y5z6,SigV1_r1s2t3...,2024-04-22 12:45:00,172.16.9.101,FAILED
16,16,16,16,a1b2...c3d4,SigV1_u4v5w6...,2024-05-01 16:20:00,104.25.10.5,VERIFIED
17,17,17,17,e5f6...g7h8,SigV1_x7y8z9...,2024-05-05 09:55:00,172.18.0.21,VERIFIED
18,18,18,18,i9j0...k1l2,SigV1_a0b1c2...,2024-05-10 11:30:00,66.249.66.1,VERIFIED
19,19,19,19,m3n4...o5p6,SigV1_d3e4f5...,2024-05-12 15:10:00,172.16.10.12,VERIFIED
20,20,20,20,q7r8...s9t0,SigV1_g6h7i8...,2024-05-15 10:45:00,192.168.1.50,VERIFIED
