id,provider_name,hsm_serial_number,key_rotation_status,last_rotation_at,next_rotation_due
1,Thales Luna 7,HSM-US-1001,COMPLETED,2023-01-15,2026-01-15
2,AWS CloudHSM,HSM-US-1002,COMPLETED,2023-02-10,2026-02-10
3,Azure Dedicated HSM,HSM-US-1003,COMPLETED,2023-03-05,2026-03-05
4,Utimaco Se2,HSM-US-1004,PENDING,2023-03-12,2026-03-12
5,Entrust nShield,HSM-US-1005,COMPLETED,2023-04-01,2026-04-01
6,Gemalto SafeNet,HSM-US-1006,COMPLETED,2023-05-18,2026-05-18
7,Thales Luna 7,HSM-US-1007,COMPLETED,2023-06-10,2026-06-10
8,AWS CloudHSM,HSM-US-1008,COMPLETED,2023-06-15,2026-06-15
9,Azure Dedicated HSM,HSM-US-1009,COMPLETED,2023-07-02,2026-07-02
10,Utimaco Se2,HSM-US-1010,COMPLETED,2023-07-20,2026-07-20
11,Entrust nShield,HSM-US-1011,COMPLETED,2023-08-05,2026-08-05
12,Gemalto SafeNet,HSM-US-1012,COMPLETED,2023-08-22,2026-08-22
13,Thales Luna 7,HSM-US-1013,COMPLETED,2023-09-11,2026-09-11
14,AWS CloudHSM,HSM-US-1014,COMPLETED,2023-09-30,2026-09-30
15,Azure Dedicated HSM,HSM-US-1015,COMPLETED,2023-10-14,2026-10-14
16,Utimaco Se2,HSM-US-1016,COMPLETED,2023-11-02,2026-11-02
17,Entrust nShield,HSM-US-1017,COMPLETED,2023-11-25,2026-11-25
18,Gemalto SafeNet,HSM-US-1018,COMPLETED,2023-12-10,2026-12-10
19,Thales Luna 7,HSM-US-1019,COMPLETED,2024-01-05,2027-01-05
20,AWS CloudHSM,HSM-US-1020,COMPLETED,2024-01-20,2027-01-20
