id,job_id,notary_id,assigned_at,accepted_at
1,1,1,2026-03-20 07:30,NULL
2,2,1,2026-03-20 08:00,2026-03-20 08:10
3,2,2,2026-03-20 08:30,2026-03-20 08:40
4,6,2,2026-03-20 09:30,NULL
5,6,2,2026-03-20 10:00,NULL
6,7,3,2026-03-21 07:30,2026-03-21 07:45
7,4,4,2026-03-21 08:30,2026-03-21 08:40
8,4,5,2026-03-21 09:00,NULL
9,9,5,2026-03-21 12:00,2026-03-21 12:15
10,11,6,2026-03-21 13:30,2026-03-21 13:45
11,13,2,2026-03-22 07:30,NULL
12,12,11,2026-03-22 08:30,2026-03-22 08:40
13,12,11,2026-03-22 09:30,2026-03-22 09:45
14,11,13,2026-03-22 12:30,NULL
15,14,17,2026-03-22 14:00,NULL
16,12,19,2026-03-23 07:30,2026-03-23 07:50
17,12,14,2026-03-23 09:00,2026-03-23 09:10
18,17,18,2026-03-23 09:30,NULL
19,18,11,2026-03-23 12:30,2026-03-23 12:45
20,19,12,2026-03-23 14:00,2026-03-23 14:10
