id,request_id,notary_id,jurisdiction_id,type,status
1,1,1,1,ACKNOWLEDGMENT,COMPLETED
2,2,2,2,JURAT,COMPLETED
3,3,3,3,LOAN_SIGNING,PENDING
4,4,4,1,POWER_OF_ATTORNEY,COMPLETED
5,5,5,4,COPY_CERTIFICATION,CANCELLED
6,6,1,1,RON,IN_PROGRESS
7,7,6,2,AFFIDAVIT,COMPLETED
8,8,7,5,OATH_AFFIRMATION,COMPLETED
9,9,8,3,APOSTILLE,PENDING
10,10,9,4,LOAN_SIGNING,COMPLETED
11,11,10,1,ACKNOWLEDGMENT,IN_PROGRESS
12,12,2,2,JURAT,COMPLETED
13,13,11,5,POWER_OF_ATTORNEY,PENDING
14,14,12,3,RON,COMPLETED
15,15,3,3,AFFIDAVIT,CANCELLED
16,16,13,1,COPY_CERTIFICATION,COMPLETED
17,17,14,2,LOAN_SIGNING,IN_PROGRESS
18,18,15,4,OATH_AFFIRMATION,PENDING
19,19,4,1,APOSTILLE,COMPLETED
20,20,1,1,ACKNOWLEDGMENT,COMPLETED
