id,notary_id,working_days_per_week,start_time,end_time,fixed_days_off
1,1,5,08:00,17:00,"sat,sun"
2,2,6,09:00,18:00,sun
3,3,5,08:30,17:30,sat
4,4,6,10:00,19:00,sun
5,5,5,08:00,16:00,"sat,sun"
6,6,6,09:00,15:00,sun
7,7,5,07:00,15:00,"sat,sun"
8,8,6,08:00,16:00,sun
9,9,5,10:00,18:00,sat
10,10,6,08:00,17:00,sun
11,11,5,09:00,18:00,"sat,sun"
12,12,6,08:00,14:00,sun
13,13,5,10:00,18:00,sat
14,14,6,07:00,15:00,sun
15,15,5,08:30,17:30,"sat,sun"
16,16,6,09:00,18:00,sun
17,17,5,07:00,15:00,sat
18,18,6,10:00,16:00,sun
19,19,5,08:00,17:00,"sat,sun"
20,20,6,09:00,18:00,sun
