id,notary_id,mobile,RON,loan_signing,apostille_related_support,max_distance
1,1,TRUE,TRUE,TRUE,FALSE,30
2,2,TRUE,FALSE,TRUE,TRUE,25
3,3,FALSE,TRUE,FALSE,FALSE,50
4,4,TRUE,TRUE,TRUE,TRUE,40
5,5,TRUE,FALSE,FALSE,TRUE,20
6,6,FALSE,TRUE,TRUE,FALSE,60
7,7,TRUE,TRUE,FALSE,FALSE,35
8,8,TRUE,FALSE,TRUE,FALSE,15
9,9,FALSE,TRUE,TRUE,TRUE,45
10,10,TRUE,TRUE,FALSE,TRUE,30
11,11,TRUE,FALSE,TRUE,FALSE,20
12,12,FALSE,TRUE,FALSE,TRUE,55
13,13,TRUE,TRUE,TRUE,FALSE,40
14,14,TRUE,FALSE,FALSE,FALSE,10
15,15,FALSE,TRUE,TRUE,TRUE,50
16,16,TRUE,TRUE,FALSE,FALSE,25
17,17,TRUE,FALSE,TRUE,TRUE,30
18,18,FALSE,TRUE,FALSE,FALSE,60
19,19,TRUE,TRUE,TRUE,TRUE,45
20,20,TRUE,FALSE,FALSE,TRUE,20
