id,notary_id,status ,reason,effective date,created by
nsh00001,1,ACTIVE,,15/01/2023 8:30:00,1
nsh00002,2,ACTIVE,,10/02/2023 9:15:00,2
nsh00003,3,ACTIVE,,05/03/2023 10:00:00,1
nsh00004,4,INACTIVE,insurance has expired.,12/03/2023 11:45:00,1
nsh00005,5,ACTIVE,,01/04/2023 14:20:00,1
nsh00006,6,INACTIVE,license outdate.,18/05/2023 8:00:00,1
nsh00007,7,BLOCKED,banned by Department of Justice,10/06/2023 16:30:00,2
nsh00008,8,ACTIVE,,15/06/2023 9:10:00,1
nsh00009,9,ACTIVE,,02/07/2023 11:25:00,1
nsh00010,10,ACTIVE,,20/07/2023 13:40:00,1
nsh00011,11,ACTIVE,,05/08/2023 15:55:00,1
nsh00012,12,ACTIVE,,22/08/2023 10:15:00,2
nsh00013,13,ACTIVE,,11/09/2023 14:05:00,1
nsh00014,14,ACTIVE,,30/09/2023 8:50:00,1
nsh00015,15,BLOCKED,banned by Department of Justice,14/10/2023 12:30:00,1
nsh00016,16,ACTIVE,,02/11/2023 16:10:00,1
nsh00017,17,ACTIVE,,25/11/2023 9:45:00,2
nsh00018,18,INACTIVE,insurance has expired.,10/12/2023 11:20:00,1
nsh00019,19,ACTIVE,,05/01/2024 15:00:00,1
nsh00020,20,ACTIVE,,20/01/2024 10:35:00,1
