id,old_seal_id,old_certificate_id,new_seal_id,new_certificate_id,replaced_at,performed_by,revocation_id
1,NULL,1,NULL,21,2024-03-05,1,1
2,NULL,2,NULL,22,2024-03-10,2,2
3,3,NULL,23,NULL,2024-03-15,3,3
4,4,NULL,24,NULL,2024-02-15,4,4
5,5,5,25,25,2024-02-10,5,5
6,6,6,26,26,2024-02-20,6,6
7,7,7,27,27,2024-03-05 16:00,1,7
8,8,8,28,28,2024-03-10 09:30,1,8
9,9,9,29,29,2024-03-15 11:00,1,9
10,10,10,30,30,2024-03-20 15:30,1,10
11,11,11,31,31,2024-04-05 10:00,1,11
12,12,12,32,32,2024-04-10 14:45,1,12
13,13,13,33,33,2024-04-15 09:15,1,13
14,14,14,34,34,2024-04-20 16:00,1,14
15,15,15,35,35,2024-04-25 11:30,1,15
16,16,16,36,36,2024-05-05 13:00,1,16
17,17,17,37,37,2024-05-10 10:45,1,17
18,18,18,38,38,2024-05-15 14:20,1,18
19,19,19,39,39,2024-05-20 09:00,1,19
20,20,20,40,40,2024-05-25 15:50,1,20
