id,seal_id,user_id,used_at,page_number,is_anomaly
1,1,1,2024-01-20 08:30:00,1,0
2,2,2,2024-01-21 09:15:00,5,0
3,4,3,2024-02-10 10:00:00,2,0
4,6,4,2024-02-15 11:45:00,1,0
5,8,5,2024-03-01 14:20:00,3,1
6,9,6,2024-03-05 08:00:00,1,0
7,11,7,2024-03-10 16:30:00,4,0
8,13,8,2024-03-15 09:10:00,1,0
9,16,9,2024-03-20 11:25:00,2,0
10,17,10,2024-03-22 13:40:00,1,0
11,18,11,2024-03-25 15:55:00,6,0
12,20,12,2024-04-01 10:15:00,1,0
13,1,13,2024-04-05 14:05:00,2,0
14,2,14,2024-04-10 08:50:00,3,0
15,4,15,2024-04-15 12:30:00,1,1
16,6,16,2024-04-20 16:10:00,2,0
17,8,17,2024-04-25 09:45:00,1,0
18,9,18,2024-05-01 11:20:00,4,0
19,11,19,2024-05-05 15:00:00,1,0
20,13,20,2024-05-10 10:35:00,2,0
