id,commission_id,type,name,status,image_url,issued_at,allowed_act_types,replace_seal_id,notarial_act_id
1,1,WET_SEAL,CA-Old-01,ACTIVE,/seals/old_ca_01.png,2021-01-05,"Acknowledgement, Jurat",NULL,1
2,2,EMBOSSER,TX-Old-02,ACTIVE,/seals/old_tx_02.png,2022-05-12,Acknowledgement,NULL,2
3,3,WET_SEAL,NY-Old-03,REVOKED,/seals/old_ny_03.png,2019-03-20,All Types,21,3
4,4,WET_SEAL,FL-Old-04,REVOKED,/seals/old_fl_04.png,2023-07-22,"Jurat, Oath",22,4
5,5,EMBOSSER,WA-Old-05,REVOKED,/seals/old_wa_05.png,2018-09-05,Acknowledgement,23,5
6,6,WET_SEAL,NV-Old-06,REVOKED,/seals/old_nv_06.png,2024-01-12,All Types,24,6
7,7,WET_SEAL,AZ-Old-07,REVOKED,/seals/old_az_07.png,2021-11-15,Acknowledgement,25,7
8,8,EMBOSSER,IL-Old-08,REVOKED,/seals/old_il_08.png,2023-02-05,Jurat,26,8
9,9,WET_SEAL,OH-Old-09,REVOKED,/seals/old_oh_09.png,2022-06-10,"Acknowledgement, Oath",27,9
10,10,WET_SEAL,MI-Old-10,REVOKED,/seals/old_mi_10.png,2020-08-10,All Types,28,10
11,11,EMBOSSER,GA-Old-11,REVOKED,/seals/old_ga_11.png,2023-12-15,Acknowledgement,29,11
12,12,WET_SEAL,NC-Old-12,REVOKED,/seals/old_nc_12.png,2018-03-05,Jurat,30,12
13,13,WET_SEAL,VA-Old-13,REVOKED,/seals/old_va_13.png,2024-04-06,All Types,31,13
14,14,EMBOSSER,NJ-Old-14,REVOKED,/seals/old_nj_14.png,2020-10-12,Acknowledgement,32,14
15,15,WET_SEAL,PA-Old-15,REVOKED,/seals/old_pa_15.png,2019-07-10,All Types,33,15
16,16,WET_SEAL,MA-Old-16,REVOKED,/seals/old_ma_16.png,2024-02-05,"Jurat, Oath",34,16
17,17,EMBOSSER,CO-Old-17,REVOKED,/seals/old_co_17.png,2023-05-08,Acknowledgement,35,17
18,18,WET_SEAL,OR-Old-18,REVOKED,/seals/old_or_18.png,2022-09-12,All Types,36,18
19,19,WET_SEAL,MN-Old-19,REVOKED,/seals/old_mn_19.png,2021-11-15,Jurat,37,19
20,20,EMBOSSER,UT-Old-20,REVOKED,/seals/old_ut_20.png,2024-06-08,Acknowledgement,38,20
21,3,WET_SEAL,NY-New-23,ACTIVE,/seals/new_ny_23.png,2024-03-15,All Types,NULL,3
22,4,WET_SEAL,FL-New-24,ACTIVE,/seals/new_fl_24.png,2024-02-15,"Jurat, Oath",NULL,4
23,5,EMBOSSER,WA-New-25,ACTIVE,/seals/new_wa_25.png,2024-02-10,Acknowledgement,NULL,5
24,6,WET_SEAL,NV-New-26,ACTIVE,/seals/new_nv_26.png,2024-02-20,All Types,NULL,6
25,7,WET_SEAL,AZ-New-27,ACTIVE,/seals/new_az_27.png,2024-03-05,Acknowledgement,NULL,7
26,8,EMBOSSER,IL-New-28,ACTIVE,/seals/new_il_28.png,2024-03-10,Jurat,NULL,8
27,9,WET_SEAL,OH-New-29,ACTIVE,/seals/new_oh_29.png,2024-03-15,"Acknowledgement, Oath",NULL,9
28,10,WET_SEAL,MI-New-30,ACTIVE,/seals/new_mi_30.png,2024-03-20,All Types,NULL,10
29,11,EMBOSSER,GA-New-31,ACTIVE,/seals/new_ga_31.png,2024-04-05,Acknowledgement,NULL,11
30,12,WET_SEAL,NC-New-32,ACTIVE,/seals/new_nc_32.png,2024-04-10,Jurat,NULL,12
31,13,WET_SEAL,VA-New-33,ACTIVE,/seals/new_va_33.png,2024-04-15,All Types,NULL,13
32,14,EMBOSSER,NJ-New-34,ACTIVE,/seals/new_nj_34.png,2024-04-20,Acknowledgement,NULL,14
33,15,WET_SEAL,PA-New-35,ACTIVE,/seals/new_pa_35.png,2024-04-25,All Types,NULL,15
34,16,WET_SEAL,MA-New-36,ACTIVE,/seals/new_ma_36.png,2024-05-05,"Jurat, Oath",NULL,16
35,17,EMBOSSER,CO-New-37,ACTIVE,/seals/new_co_37.png,2024-05-10,Acknowledgement,NULL,17
36,18,WET_SEAL,OR-New-38,ACTIVE,/seals/new_or_38.png,2024-05-15,All Types,NULL,18
37,19,WET_SEAL,MN-New-39,ACTIVE,/seals/new_mn_39.png,2024-05-20,Jurat,NULL,19
38,20,EMBOSSER,UT-New-40,ACTIVE,/seals/new_ut_40.png,2024-05-25,Acknowledgement,NULL,20
