id,act_id,user_id,order_index,signature_data,status
1,1,7,1,"data:image/png;base64,iVBORw0KGg...",SIGNED
2,1,1,2,"data:image/png;base64,R0lGODlhAQ...",SIGNED
3,2,8,1,"data:image/png;base64,SUQzBAAAAA...",SIGNED
4,2,2,2,,PENDING
5,3,9,1,,PENDING
6,3,10,2,,PENDING
7,3,3,3,,PENDING
8,4,11,1,"data:image/png;base64,UklGRiQAA...",SIGNED
9,4,4,2,,DECLINED
10,5,12,1,"data:image/png;base64,PHN2ZyB4b...",SIGNED
11,5,13,2,"data:image/png;base64,iVBORw0KGg...",SIGNED
12,5,5,3,"data:image/png;base64,R0lGODlhAQ...",SIGNED
13,6,14,1,"data:image/png;base64,SUQzBAAAAA...",SIGNED
14,6,6,2,,PENDING
15,7,15,1,,PENDING
16,7,1,2,,PENDING
17,8,16,1,"data:image/png;base64,UklGRiQAA...",SIGNED
18,8,2,2,"data:image/png;base64,PHN2ZyB4b...",SIGNED
19,9,17,1,,DECLINED
20,9,3,2,,PENDING
